Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,5/25/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.510598,1471.086173,871.6971672,813.8298113,878.530223,958.5062383,1030.463922,1076.625039,1164.282219,1210.362395,1289.884252,1422.476654,1619.112189,1855.596827,2062.203233,2364.175935,2697.018983,3093.36934,3335.244164,2884.33947,2958.838999,3098.742304,3312.980008,3406.536118,3511.225059,3607.289299,3601.469664,3860.218058,4051.384967,4350.466198,4021.046264,
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12609.36852,12641.66788,12653.28184,12628.50766,12202.73737,12586.71604,12439.14972,12092.27651,12256.34286,12328.66528,11812.45911,11507.22565,11694.54539,12059.63516,11871.35955,11066.06017,11393.60566,11368.56958,11839.0105,
Antigua & Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,5570.432046,5826.241175,6306.135085,6830.398573,7099.23535,7094.304457,7474.965095,8234.12855,8863.384883,9887.087894,10549.24671,11091.12029,11626.77877,11876.1994,11975.74031,11908.49317,12286.03334,12828.61044,12006.51861,12525.16794,12928.44177,13260.49429,13484.18646,14069.51484,13220.04483,13170.62601,13792.50092,14399.82072,15122.18561,16785.74705,18062.46566,17771.19316,15401.96864,13986.84089,13525.44491,13802.70749,13554.4014,13908.99163,14285.32978,14919.20605,15242.37307,16146.59275,16786.44743,13285.64474,
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19953.20634,20045.84366,19815.74959,20647.48595,21659.15206,22509.0974,22525.05199,23644.60049,24414.78014,25593.1264,26894.50648,27040.51029,27585.78281,27878.81695,28297.94482,28325.01606,28769.10301,29468.84247,29388.57436,30250.37006,30790.96849,31318.08374,31823.62275,30729.80758,31780.25853,32995.13806,33767.16122,34104.83063,35478.42675,36231.01618,36974.45093,36361.94227,36072.03981,37161.67915,38234.02989,39223.16077,40203.30233,41309.82597,42767.79397,44369.27283,45558.75313,45864.76803,47127.2781,47997.13714,49439.12229,50332.87484,50948.22497,52538.97558,53338.60278,53225.95104,53542.83372,54108.11106,55254.60621,55723.94823,56305.97909,56707.02208,57358.7828,57695.57126,58447.25265,58781.04666,58029.51553,
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12051.15117,12648.9747,12904.66988,13352.65113,14076.27616,14471.82132,15181.58876,15521.80965,16132.00952,17085.32997,18101.99195,18943.18115,20002.55611,20864.84746,21650.4868,21629.0463,22659.31778,23801.26754,23770.36624,25086.40019,25520.74056,25419.00965,25911.66094,26725.19072,26740.57724,27395.87265,28008.55459,28370.71788,29264.32358,30265.19323,31340.68129,32097.24109,32410.53977,32313.71187,32962.81742,33790.48499,34537.73957,35220.88774,36442.28823,37664.94328,38842.89052,39184.8086,39636.48261,39815.22195,40651.22662,41281.27076,42496.35105,43937.71289,44440.05589,42655.19213,43334.50896,44451.00019,44549.8817,44299.37818,44245.16874,44195.81759,44590.25163,45281.7234,46188.96651,46669.75121,43346.43185,
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820.740989,2763.976874,2107.222749,1596.076577,1264.482761,1102.459147,1105.548391,1158.440947,1262.247546,1343.808711,1480.756655,1614.792116,1754.073606,1918.543633,2077.812262,2631.758979,3501.041807,4326.961571,4692.912192,5023.790765,5215.020912,5152.657444,5194.738377,5425.905285,5505.988236,5500.310382,5270.552968,5229.526137,5262.183805,5348.26526,5083.381639,
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,285.4388888,241.4969009,258.4121967,263.9156326,274.7366068,279.3511413,285.221482,316.3887636,307.5325561,296.2107625,352.6487174,357.107685,330.525605,349.8201714,343.3434597,340.6528576,360.8847099,393.5536522,380.4920129,377.0900897,371.111958,405.5951879,390.9484877,394.8517783,384.8925656,418.4959902,420.0801074,430.8199036,440.1016753,434.4116718,438.7125296,450.2076574,445.1049936,409.2340333,386.8279712,350.9509938,318.9820512,310.7301812,322.1519114,314.7476524,306.5844854,305.8544893,310.945329,298.0252118,302.6820886,295.7371646,301.7906504,302.1070711,306.5074152,307.9042658,313.3118179,315.6569231,319.4385338,324.8286607,328.1471959,305.5496525,294.2188482,286.4315278,281.9702323,278.3193713,270.6914487,
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11734.30617,12277.63472,12866.22877,13326.11327,14118.90232,14489.4451,14846.09735,15334.76789,15915.19565,16922.35438,17849.49471,18527.14874,19432.03103,20607.18091,21480.26132,20997.20683,22144.52361,22255.68441,22866.82323,23381.12724,24393.29818,24325.81328,24477.19988,24555.48097,25161.49098,25569.48933,26026.2805,26603.9281,27772.05205,28631.31909,29441.66215,29870.14777,30204.56375,29797.40632,30664.30785,31329.89207,31681.93636,32804.36054,33376.57484,34479.90645,35674.79125,35943.23796,36393.24177,36617.38038,37761.28132,38426.05191,39147.76356,40290.22776,40151.84987,39025.22079,39777.92528,39929.09514,39975.57364,39970.3175,40421.42079,41008.29672,41318.01964,41825.76283,42393.2512,43071.10658,40438.92073,
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,679.0216657,690.6245699,657.092818,677.357251,710.3671958,734.7887179,746.9335502,740.3185031,753.2653053,758.8828114,758.3926365,730.9189297,760.7693074,771.1977223,778.5151738,722.7727912,711.3009366,727.9853691,718.1942371,745.1334473,774.5520971,828.6979504,824.01221,766.2910979,803.8020555,839.7489034,833.4363189,797.2660429,800.1417555,753.5699688,795.0716527,801.1509115,796.6428755,814.1313018,802.60619,823.5492837,832.5564138,854.0428759,861.9870749,881.6194178,905.8262695,925.716073,939.6616639,942.9185879,955.5342141,943.6293117,952.8312272,981.4557454,1000.851485,995.6942065,988.6107855,989.7673545,1008.766303,1051.551916,1087.719957,1076.796698,1082.451288,1112.817094,1155.313168,1201.561384,1214.659587,
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,241.6054997,248.0226368,259.7344792,252.9990666,255.1671862,260.8853911,258.2218622,276.4476201,280.1639736,280.9734325,276.4799815,275.5480694,276.9908012,273.2942437,290.5729147,293.717027,312.7147534,307.7464073,315.4256545,320.0822918,315.4840315,321.2652875,343.4739917,336.0867297,321.7662781,340.2861346,357.9641202,347.9318066,358.5714302,356.7400051,345.2841565,366.6536594,357.742252,360.2306608,355.1484195,365.2805352,394.4572585,407.8607315,425.5691791,444.3225291,440.028405,455.9076554,462.2655992,484.097061,491.1846746,518.1678672,534.3567179,539.8200175,554.1121212,553.5166745,582.4157341,602.5791469,622.5197112,639.2329213,647.4287022,653.3272681,672.3630399,693.7264393,718.6425595,738.2189012,731.5220707,
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,463.3573883,477.9951714,490.2619822,474.4724518,511.3577739,504.1547194,501.0595863,476.0313377,505.0833184,496.8834577,512.1211627,474.4632052,401.4604965,408.606343,440.6035864,414.6047996,428.3799305,428.9869654,447.2395447,456.1453802,447.6949235,467.5867082,465.2500644,470.9053141,480.8311003,484.0480192,491.1358177,496.4328768,495.4038232,496.7616469,512.0965895,517.763692,533.8879689,547.051417,556.2988647,572.4384537,585.7169371,599.2275335,617.2923441,633.1827346,653.80864,674.1669727,687.3833075,707.605094,732.7488409,769.1359804,809.4736327,856.0459472,897.1890238,931.9865061,972.9096877,1024.021957,1078.287546,1129.993548,1184.863283,1248.45331,1322.694812,1403.861692,1498.387892,1603.953646,1643.67331,
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3428.409512,3584.441373,3657.287766,3773.315984,3892.356835,3996.864802,4166.14167,4411.886223,4889.25632,4784.054646,4427.010714,4093.476679,3836.763954,3810.243725,3892.711068,4021.722817,4252.946498,3674.931817,3839.716702,3537.105822,3717.677042,3937.434865,4260.116138,4518.87825,4849.542896,5230.983704,5629.419867,6044.759412,6459.640912,6288.67741,6427.810062,6605.08982,6693.612364,6693.450153,6796.689119,7074.681023,7341.047614,7599.124957,7859.678037,8234.781334,7920.91133,
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,21450.55278,19537.95871,17507.87342,18131.07255,18534.22492,17139.07011,16779.73661,17885.01933,18469.84631,17925.07197,18160.16936,19651.33785,20432.12389,22497.03638,21894.54455,22185.49563,22500.07098,22561.7924,22919.39396,23047.07072,23243.59088,22697.61692,22258.19493,22335.93242,22422.68994,22343.53739,22069.28042,22111.68008,21833.41198,21057.42077,20982.34048,20774.24494,21187.54188,22078.99048,22676.62587,22634.08565,22552.68457,22445.45256,21824.20623,21317.33449,19514.87488,
Bahamas,BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,20100.71052,21165.27609,22224.34488,23358.03935,24582.27203,25913.4538,27043.79939,28427.66577,29650.86457,31209.03597,28557.29298,28267.75498,26670.40466,28110.88258,22947.77596,19158.51958,19733.22205,21081.12157,23546.82181,29051.64352,30263.11567,26867.20364,28034.1231,28408.63302,31754.77404,32626.13386,32595.33752,32982.38388,33173.34776,34802.09444,33646.57945,31649.12691,29863.87137,29399.14792,29798.98291,30623.11565,31489.29813,33258.22132,31406.62531,34822.48424,35782.80435,36167.2346,36537.04791,35445.28726,35111.1742,35637.79066,35852.23726,35685.84332,34218.43213,32234.29077,32238.12302,32016.68803,32642.07573,31165.27013,31580.51618,31776.05559,31491.70047,31682.6965,32231.27258,32136.76231,27209.46486,
Bosnia & Herzegovina,BIH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.1423399,768.9174909,1477.87337,2001.178154,2314.434825,2530.511698,2847.59239,2913.229504,3056.536708,3172.382867,3371.238912,3501.563492,3691.05004,3909.971505,4132.191153,4027.691282,4095.960731,4185.304033,4215.619738,4390.648706,4518.465786,4729.689959,4940.759769,5150.273169,5387.269436,5578.266314,5433.151358,
Belarus,BLR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890.524166,2854.520751,2574.823852,2373.890521,2098.624263,1886.477425,1945.838948,2176.69235,2370.186467,2461.826851,2616.912993,2754.66447,2912.123361,3139.120986,3522.489851,3880.01437,4294.228672,4684.980291,5180.712344,5203.854887,5621.937175,5938.22068,6047.871129,6110.904667,6212.912772,5967.052204,5811.197944,5964.892944,6165.90933,6264.860965,6234.824328,
Belize,BLZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1195.067859,1218.694386,1242.986957,1268.477967,1294.37365,1319.144577,1341.279357,1365.24002,1423.411123,1455.905243,1489.496587,1516.074704,1640.016867,1699.164739,1900.018902,1939.349199,1911.734282,2008.48197,2136.610239,2259.388448,2512.477512,2481.903915,2415.173844,2297.67603,2276.924446,2236.146888,2273.537742,2448.810203,2618.060218,2886.921107,3147.243335,3442.30166,3794.102875,3964.86098,3891.317253,3816.424687,3749.615279,3743.836334,3737.576948,3917.15496,4278.016875,4342.088726,4420.724429,4707.02739,4806.05552,4773.623885,4874.468356,4773.334098,4814.477032,4704.834741,4728.773622,4706.072991,4709.310616,4663.921511,4747.067099,4770.232656,4671.914983,4663.281516,4707.401416,4701.043306,3968.491883,
Bermuda,BMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,37935.8868,38751.23323,39527.7963,39029.44774,42301.43241,43253.54393,48593.39054,53985.64047,54082.13914,54904.69426,57309.15837,59713.44026,61244.53704,62615.31535,63637.71536,66534.04059,72208.73162,76180.80129,76999.15781,78360.68704,83239.53461,84633.16048,79583.13396,80483.73501,80164.5663,77902.65419,82395.27318,84794.99688,87481.3788,87131.94941,86436.23431,83812.1328,84371.03566,86444.67822,86361.95281,89518.27764,91261.15148,94878.49225,97857.32328,100602.9275,109001.586,115619.4747,113172.1206,116268.8169,118193.1487,119396.4494,125294.9594,128757.8807,125610.0334,117886.738,115839.796,112471.3475,106119.795,105492.4807,101374.4698,102005.6256,102407.3944,107237.0318,106696.0682,107196.8151,100411.8739,
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1292.805622,1294.335145,1339.939245,1402.915167,1429.470777,1469.590801,1543.010662,1606.899725,1707.907942,1747.032862,1799.571146,1850.353146,1954.840903,2022.320467,2036.502004,2137.710964,2187.3545,2245.678073,2241.740036,2196.457261,2120.701778,2082.812487,1960.430336,1843.623358,1803.054826,1736.871507,1657.388191,1662.977869,1675.603827,1702.679182,1744.31199,1797.780254,1789.239985,1826.865548,1872.709923,1920.317932,1963.640761,2019.851607,2079.696679,2048.026511,2059.185276,2054.330947,2066.24164,2083.421929,2131.307108,2186.186676,2251.274994,2313.891217,2414.973422,2454.800303,2514.434823,2602.71849,2692.607496,2830.673453,2939.47746,3035.971655,3118.913682,3203.004437,3291.156355,3317.370945,2983.027049,
Brazil,BRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2611.053449,2754.246341,2851.492888,2786.362446,2799.641949,2787.438778,2893.575825,2934.987745,3138.785732,3349.531837,3605.870486,3917.285845,4280.668348,4764.117968,5032.179562,5168.28064,5564.763371,5702.514423,5845.752543,6094.920931,6500.387806,6079.244038,5987.820545,5679.897404,5853.897259,6178.523915,6504.975723,6601.58908,6471.952726,6553.238049,6155.645373,6110.719075,5974.590065,6165.316865,6420.407392,6584.739221,6624.100372,6742.711741,6662.853439,6595.616099,6787.668992,6788.576562,6904.625307,6896.137194,7206.261798,7352.282586,7560.70204,7936.824428,8258.615884,8169.26242,8702.255331,8965.620557,9056.580438,9247.573381,9214.977244,8813.989806,8455.312342,8498.293906,8582.338637,8638.282907,8228.78051,
Barbados,BRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,11645.78626,11354.20318,11781.02262,12144.0411,12671.70084,13609.4888,14146.05208,13827.56569,13109.41255,13138.255,13573.88257,13681.8828,14332.29798,14652.63864,15110.16551,15594.45619,15022.48559,14382.66005,13513.4638,13570.09983,13789.4521,14010.99897,14508.57156,15131.92252,15629.03354,15616.3399,16247.3897,15805.8388,15876.16841,16167.86017,16339.38354,16921.93545,17846.19065,18158.94537,18204.92103,17209.14039,16754.62856,16591.48205,16474.49833,16208.72228,16158.35446,16524.8995,16906.59362,16961.33996,16838.72873,16800.21,13595.03441,
Brunei Darussalam,BRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,43260.92219,41651.08997,48100.41021,51353.11781,52870.61521,62590.5458,56324.53907,43769.51254,44168.2815,43132.00477,42176.98169,40388.63995,38189.79856,37866.90934,37211.06298,35779.13403,35154.23117,35239.40574,35881.14394,34994.34256,35126.37365,35753.41002,35875.92459,34516.2129,33551.97014,33825.7126,34063.61458,34291.13577,34926.6281,35277.80234,34850.14422,34441.12261,35455.63564,35064.8667,33981.33703,32991.82358,33437.12173,34244.2069,34096.90756,32924.99003,31678.93731,31164.03625,30038.73449,30101.5288,29802.78288,30646.10925,30696.87715,
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,401.7388058,450.0754546,453.8013749,488.7350218,497.8210263,503.6056107,544.0794674,679.9560909,691.0945863,723.967573,786.1482482,777.3241637,813.2583723,832.4260777,874.7687847,931.8786036,971.3087795,1004.504992,1040.036873,1096.821458,1108.439825,1175.856829,1278.877826,1352.978958,1409.647999,1489.211777,1572.462107,1840.271602,1909.245906,2017.903478,2235.322677,2386.621111,2479.151723,2500.864512,2612.886268,2752.630172,2940.69997,3040.937003,3097.148351,3238.060464,2879.638619,
Botswana,BWA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,357.5632476,372.8611898,389.2984171,403.1773799,421.1495888,435.9853776,453.9484514,470.8481492,509.3980621,572.669028,653.1699578,798.1302397,977.1685267,1146.146377,1203.720655,1258.472397,1340.680189,1444.414286,1588.087001,1713.887746,1849.241943,1946.309454,2109.52133,2307.146726,2418.557562,2498.484201,2602.056668,2800.428821,3219.206252,3509.731139,3624.329595,3778.477674,3782.550371,3757.02329,3798.436648,3968.320716,4100.443484,4338.900305,4260.238912,4572.180888,4569.215196,4494.938753,4683.955857,4816.570039,4859.628963,4986.327986,5294.96971,5612.32779,5837.779265,5286.574918,5642.220049,5899.462841,6089.39911,6704.536817,6895.574413,6402.910183,6729.065594,6855.160311,6973.098846,7027.045357,6299.208725,
Central African Republic,CAF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,652.8550322,674.2439769,638.3897501,622.8524879,624.2514807,618.2191105,609.8159924,625.1491985,620.8820896,651.9523865,655.2683508,652.1032041,642.5771609,645.3638117,675.7405261,666.7044543,689.3190168,700.5088116,692.7641719,658.9217556,612.64636,585.8482085,611.8930621,545.1312832,579.9479936,587.600309,595.5992985,555.6859802,555.2996923,555.6042976,531.8557187,515.7300171,469.4336437,457.5688608,466.383138,486.3657141,454.8332134,467.0522611,477.3187382,483.0313179,460.3452071,470.3560394,477.0975738,442.1528133,459.345311,454.5074057,466.9768354,479.1921658,480.4109001,513.9373957,531.7129958,550.0198955,575.5018888,365.1161263,364.083958,377.4229177,391.4735346,404.0024591,412.9902027,418.3155518,414.3966191,
Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31222.72482,31830.61711,32826.53081,34121.60919,34227.34175,35015.79497,36024.09924,37086.4493,38573.19977,39776.17947,42097.43512,42063.63305,40368.29204,41155.32364,42036.99784,42315.80739,42846.2842,43635.09548,43596.13554,43536.9134,44325.48834,44917.48373,45109.24449,42258.69102,
Central Europe and the Baltics,CEB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6308.547788,5706.568885,5613.409547,5703.87783,5939.168927,6287.433591,6587.408316,6752.685158,6945.449767,7089.632744,7411.723302,7695.474103,8025.241466,8379.317811,8892.70628,9364.5451,10006.86933,10689.39515,11149.10787,10779.69954,11002.44342,11366.53969,11479.57555,11646.66811,12019.35454,12522.66106,12940.1793,13605.04666,14244.02406,14844.31663,14309.77103,
Switzerland,CHE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,59887.0204,60514.05443,59373.74151,59497.52102,61067.7822,63032.29923,63870.59472,64476.98429,66102.67297,68410.08128,70199.3239,68692.50254,67909.60105,67209.16601,67522.14999,67394.97161,67429.39075,68793.55958,70691.94672,71583.6867,74013.05641,74705.15544,74138.08348,73555.59964,75112.86739,76784.63733,79367.90023,81804.86184,82997.69216,80262.48564,82026.72451,82677.59903,82800.07408,83344.52337,84348.39282,84776.14217,85570.39606,86119.14537,87980.67069,88413.19171,85685.29027,
Channel Islands,CHI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
